Racine épelée,Racine,Quantités de mots,Sens globale / verbale
م ن,من,4054,"de, depuis, provenant de, celui qui, quiconque"
الله,الله,2698,"Dieu, Le Dieu Unique, le Commandeur Suprême, le Centre de Toute Motivation"
م ا,ما,2359,"quoi, que, ce que, ne pas"
إن,إن,2343,"Si / Certes, certainement"
ق و ل,قول,1721,"Dire, exprimer, déclarer, prononcer un avis sur, énoncer, proférer, parler à quelqu'un, professer quelque chose, indiquer, faire signe, penser, être d'avis "
ف ي,في,1701,"à, dans, en, au-dedans"
ل ا,لا,1673,"particule de négation, préfixe exprimant l'opposition, ni, ne, nullement, aucunement"
ع ل ى,على,1442,"dessus, sur"
ل ي,لي,1394,"Particule du possessif, à, pour"
ك و ن,كون,1390,"Exister, advenir, arriver, avoir lieu, se trouver, se trouver être, être tel ou tel, être dans tel état ou telle ou telle condition, se trouver dans un lieu, appartenir à, répondre pour quelqu'un, cautionner quelqu'un"
الذين,الذين,1080,"Ceux qui, celles qui, lesquels, lesquelles"
أن,أن,1022,"que, à ce que"
ر ب ب,ربب,980,"Maîtriser et d'éduquer, être maître, être chef, être seigneur ; avoir le contrôle de, exercer l'autorité, rassembler, réunir, arranger, accommoder, élever, éduquer, posséder, être propriétaire de, idée de permanence, parfumer quelque chose."
ه و,هو,948,"Lui, Il est, à lui, eux, Ils."
أ م ن,أمن,878,"rassurer, sécuriser, se fier à, faire confiance, pourvoir, garantir, approvisionner"
ع ل م,علم,854,"savoir, enseigner, apprendre, marquer, repérer, civiliser, éduquer, enseigner, initier, instruire, former, apprendre, professer, marquer, distinguer par une marque, surpasser en connaissances, connaître,savoir avec certitude, connaître, connaître parfaitement, savoir pertinemment"
إ ل ى,إلى,742,"à, jusqu’à, vers"
ذ ا,ذا,691,"à, ce, cela, ceci, celui, celle, tel, voilà ce"
إ ل ا,إلا,665,"sauf, excépté"
ق و م,قوم,660,"Se lever, se dresser et se tenir debout, être stable, être ou rester debout, droit, vertical, s'élever, surgir, être, exister, avoir lieu, s'arrêter, rester immobile, s'implanter, s'installer, effectuer, exécuter, se mettre à, occuper une place, rester en place, s'occuper de, se charger de, assumer, s'acquitter, prendre en charge, surveiller, persévérer, tenir lieu, maintenir, soutenir, appuyer quelqu'un, défendre quelqu'un, triompher, se relever, se soulever, ressusciter, aborder quelqu'un, vouloir et être ferme sur un prix, pouvoir, savoir faire."
أ ت ي,أتي,549,"venir, produire, apporter, donner"
ك ف ر,كفر,525,"Couvrir, recouvrir, faire disparaître, enfouir (la graine comme le paysan) d'où la notion de cacher, celer, enterrer, enfoncer – oublier, être ingrat, rejeter, repousser, renier, refuser, nier, dénier, mécroire, être infidèle, incrédule, irréligieux, mécréant, ne pas croire, répudier, déprécier, s'affranchir de, se soustraire à."
ب ي,بي,524,"Avec , par le biais, à l'aide de , au moyen de, pour"
ب ي ن,بين,523,"illustrer, éclaircir, élucider, expliquer, manifester, démontrer, clarifier, éclairer, montrer"
ش ي أ,شيأ,519,"vouloir, souhaiter, amener quelqu'un à faire quelque chose"
ر س ل,رسل,512,"envoyer, être dénoués et flottants, psalmodier, parler avec lenteur"
ي و م,يوم,475,"Un cycle allant d'un zénith solaire à un autre, d'une culmination solaire à une autre - se trouver dans un cycle journalier, passer un ou des cycles journaliers quelque part"
ع ن,عن,465,"jouxtant, étant contre, contre, envers, contigüe"
أ ر ض,أرض,461,"Réduire en poussière, ronger, abonder en herbe, être apte"
إ ذ ا,إذا,454,"lorsque, quand"
ك ل ل,كلل,411,"Exprime la redondance, totalité, tout, chaque, chacun"
الذي,الذي,388,celui qui
أ ي ي,أيي,383,"Signe, prodige, verset d'un livre, morale, exemple, leçon, signe, indice, symptôme, merveille, miracle"
س م و,سمو,381,"parvenir à un degré supérieur, monter, élever, exalter, anoblir, nommer, appeler, invoquer le nom de Dieu, baptiser"
ع ذ ب,عذب,373,"punir, supplicier, tenailler, torturer, tourmenter, crucifier, s'abstenir de manger par soif, délaisser, abandonner, renoncer à une affaire, contenir, empêcher de faire"
ع م ل,عمل,360,"faire, travailler, agir, fabriquer, oeuvrer, opérer, réaliser, travailler, fonctionner, marcher, rémunérer, payer quelqu'un pour son travail, donner du pouvoir"
ج ع ل,جعل,346,"faire, créer, mettre, nommer, imaginer, pousser, entraîner, inciter, fixer, faire, fabriquer, commencer, entamer"
ث م,ثم,341,"Ensuite, puis"
ر ح م,رحم,338,"avoir pitié, avoir un sentiment de compassion"
ر أ ي,رأي,330,"apercevoir, voir, trouver, regarder, examiner, discerner, percevoir, piger, savoir, distinguer, simuler, feindre"
ل م,لم,321,Particule interrogative : jamais.
ك ت ب,كتب,319,"Graver pour pérenniser, écrire, inscrire, enregistrer, libeller, rédiger, consigner, destiner, donner une charge ou une fonction à quelqu'un, fixer, prescrire  -  nouer et serrer fortement avec un lien l'orifice d'une outre, boucher, coudre, recoudre, suturer, structurer  –  idée de pérenniser, recueillir, compiler, enregistrer, sauvegarder, graver."
ه د ي,هدي,316,"Accorder, donner, doter, fournir, offrir, présenter, convertir, guider, orienter."
ظ ل م,ظلم,315,"empiéter, opprimer, tyranniser, assombrir, s'obscurcir, s'assombrir, accuser d'injustice"
ن ف س,نفس,297,"Perdre de l'air ou du gaz, respirer, souffler, être précieux tel le souffle de vie,être vital, avoir une influence par le souffle ou le regard."